split,strategy,variant,family,params_id,params_json,cumulative_pnl_points,cumulative_pnl_hkd,sharpe_ratio,max_drawdown_points,num_trades,trades_per_day,win_rate,avg_pnl_per_trade,profit_factor,avg_holding_bars,score
val,ORB_TO_CLOSE,ORB_TO_CLOSE,E_DIRECTIONAL_LONG_FILTERS,orb_to_close_002,"{""buffer_points"": 10, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""long_only"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",877.0,43850.0,1.015008934883157,-1051.0,67,0.5447154471544715,0.5373134328358209,13.08955223880597,1.2725295214418895,280.95522388059703,0.9342124534550114
val,ORB_TO_CLOSE,ORB_TO_CLOSE,E_DIRECTIONAL_LONG_FILTERS,orb_to_close_003,"{""buffer_points"": 20, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""long_only"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_two_bar_confirmation"": true, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",1011.0,50550.0,1.1618240227727314,-794.0,62,0.5040650406504065,0.5,16.306451612903224,1.3323471400394478,265.03225806451616,1.1703945476199917
val,ORB_TO_CLOSE,ORB_TO_CLOSE,E_DIRECTIONAL_LONG_FILTERS,orb_to_close_004,"{""buffer_points"": 10, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""long_only"": true, ""max_daily_loss"": 200, ""max_or_width_points"": 222.0, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_or_width_filter"": true, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",142.0,7100.0,0.23302571460261146,-801.0,51,0.4146341463414634,0.5294117647058824,2.784313725490196,1.059043659043659,289.0980392156863,0.19387809277816032
val,EXTREME_TREND_FOLLOWING,EXTREME_TREND_FOLLOWING,E_DIRECTIONAL_LONG_FILTERS,extreme_trend_following_001,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 180, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",808.0,40400.0,1.1929392769507798,-595.0,35,0.2845528455284553,0.5142857142857142,23.085714285714285,1.4692218350754935,259.0285714285714,1.3403565243375395
val,EXTREME_TREND_FOLLOWING,EXTREME_TREND_FOLLOWING,E_DIRECTIONAL_LONG_FILTERS,extreme_trend_following_002,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 20, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 180, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",674.0,33700.0,1.003125885442436,-702.0,35,0.2845528455284553,0.4857142857142857,19.257142857142856,1.3866896156052781,250.28571428571428,1.1031600779616417
val,EXTREME_TREND_FOLLOWING,EXTREME_TREND_FOLLOWING,E_DIRECTIONAL_LONG_FILTERS,extreme_trend_following_003,"{""buffer_points"": 0, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_up_breakout"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 180, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",1115.0,55750.0,2.1389216033456733,-548.0,22,0.17886178861788618,0.5909090909090909,50.68181818181818,2.7394695787831513,227.13636363636363,2.6420735508869897
test,ORB_FILTERED_HYBRID_BASIC,ORB_FILTERED_HYBRID_BASIC,A_ORB_FILTERED_HYBRID,orb_filtered_hybrid_basic_002,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",-567.0,-28350.0,-3.8134532389686777,-596.0,11,0.102803738317757,0.09090909090909091,-51.54545454545455,0.09134615384615384,70.0,-3.9653176350865786
test,ORB_FILTERED_HYBRID_CONFIRM,ORB_FILTERED_HYBRID_CONFIRM,A_ORB_FILTERED_HYBRID,orb_filtered_hybrid_confirm_003,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_two_bar_confirmation"": true, ""use_volume_filter"": true, ""use_vwap"": true, ""volume_multiplier"": 1.0, ""volume_window"": 30, ""z_entry"": 2.5, ""z_exit"": 0.25}",-478.0,-23900.0,-1.5285673433905946,-602.0,53,0.4953271028037383,0.4716981132075472,-9.018867924528301,0.773567029843676,60.60377358490566,-1.6095073616306104
test,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_004,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_er"": 0.25, ""min_opening_return_points"": 20, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",991.0,49550.0,0.9110407942402244,-724.0,68,0.6355140186915887,0.4264705882352941,14.573529411764707,1.2437284800787014,180.44117647058823,0.8820944095870027
test,EXTREME_TREND_FOLLOWING,EXTREME_TREND_FOLLOWING,E_DIRECTIONAL_LONG_FILTERS,extreme_trend_following_001,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 180, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",-1067.0,-53350.0,-1.0249754226291183,-2597.0,53,0.4953271028037383,0.33962264150943394,-20.132075471698112,0.7825112107623319,226.56603773584905,-1.60242939563947
test,EXTREME_TREND_FOLLOWING,EXTREME_TREND_FOLLOWING,E_DIRECTIONAL_LONG_FILTERS,extreme_trend_following_003,"{""buffer_points"": 0, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_up_breakout"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 180, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",-1138.0,-56900.0,-1.3290433020792634,-1675.0,32,0.29906542056074764,0.28125,-35.5625,0.6283474853037231,199.96875,-1.6654727858935194
