split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20180424,101500,162900,2018-04-24 10:15:00,2018-04-24 16:29:00,30608.0,30626.0,1,16.0,800.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180430,101500,162900,2018-04-30 10:15:00,2018-04-30 16:29:00,30623.0,30657.0,1,32.0,1600.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180502,143800,162900,2018-05-02 14:38:00,2018-05-02 16:29:00,30524.0,30561.0,1,35.0,1750.0,111,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180508,101500,162900,2018-05-08 10:15:00,2018-05-08 16:29:00,30185.0,30194.0,1,7.0,350.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180509,112200,162900,2018-05-09 11:22:00,2018-05-09 16:29:00,30324.0,30406.0,1,80.0,4000.0,247,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180510,145000,162900,2018-05-10 14:50:00,2018-05-10 16:29:00,30684.0,30657.0,1,-29.0,-1450.0,99,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180511,103400,143300,2018-05-11 10:34:00,2018-05-11 14:33:00,31125.0,30953.0,1,-174.0,-8700.0,179,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180514,132100,162900,2018-05-14 13:21:00,2018-05-14 16:29:00,31338.0,31446.0,1,106.0,5300.0,188,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180516,113800,162900,2018-05-16 11:38:00,2018-05-16 16:29:00,30932.0,30926.0,1,-8.0,-400.0,231,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180518,141200,162600,2018-05-18 14:12:00,2018-05-18 16:26:00,31035.0,30869.0,1,-168.0,-8400.0,134,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180521,101500,142400,2018-05-21 10:15:00,2018-05-21 14:24:00,31353.0,31181.0,1,-174.0,-8700.0,189,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180524,104400,162900,2018-05-24 10:44:00,2018-05-24 16:29:00,30705.0,30686.0,1,-21.0,-1050.0,285,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180525,115600,150300,2018-05-25 11:56:00,2018-05-25 15:03:00,30708.0,30544.0,1,-166.0,-8300.0,127,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180531,112600,162900,2018-05-31 11:26:00,2018-05-31 16:29:00,30176.0,30485.0,1,307.0,15350.0,243,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180601,150200,162900,2018-06-01 15:02:00,2018-06-01 16:29:00,30435.0,30384.0,1,-53.0,-2650.0,87,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180604,101500,162900,2018-06-04 10:15:00,2018-06-04 16:29:00,30820.0,30892.0,1,70.0,3500.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180605,113400,162900,2018-06-05 11:34:00,2018-06-05 16:29:00,30963.0,31051.0,1,86.0,4300.0,235,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180606,130300,162900,2018-06-06 13:03:00,2018-06-06 16:29:00,31201.0,31180.0,1,-23.0,-1150.0,206,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180607,143200,162900,2018-06-07 14:32:00,2018-06-07 16:29:00,31496.0,31534.0,1,36.0,1800.0,117,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180612,111500,162900,2018-06-12 11:15:00,2018-06-12 16:29:00,31121.0,31026.0,1,-97.0,-4850.0,254,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180620,115800,162900,2018-06-20 11:58:00,2018-06-20 16:29:00,29542.0,29683.0,1,139.0,6950.0,211,session_end,LONG_FILTERED,TREND
