date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
20170721,144100,145500,2017-07-21 14:41:00,2017-07-21 14:55:00,26704.0,26721.0,1,15.0,750.0,14,mr_exit,MR,RANGE
20170724,101800,162900,2017-07-24 10:18:00,2017-07-24 16:29:00,26894.0,26875.0,1,-21.0,-1050.0,311,session_end,ORB,TREND
20170725,112100,114600,2017-07-25 11:21:00,2017-07-25 11:46:00,26840.0,26851.0,1,9.0,450.0,25,mr_exit,MR,RANGE
20170725,142200,144700,2017-07-25 14:22:00,2017-07-25 14:47:00,26839.0,26846.0,1,5.0,250.0,25,mr_exit,MR,RANGE
20170725,153600,162900,2017-07-25 15:36:00,2017-07-25 16:29:00,26866.0,26885.0,-1,-21.0,-1050.0,53,session_end,MR,RANGE
20170726,104100,131200,2017-07-26 10:41:00,2017-07-26 13:12:00,26852.0,26905.0,1,51.0,2550.0,91,mr_exit,MR,RANGE
20170726,140100,140700,2017-07-26 14:01:00,2017-07-26 14:07:00,26890.0,26888.0,1,-4.0,-200.0,6,mr_exit,MR,RANGE
20170726,142300,145800,2017-07-26 14:23:00,2017-07-26 14:58:00,26880.0,26904.0,1,22.0,1100.0,35,mr_exit,MR,RANGE
20170727,102100,103100,2017-07-27 10:21:00,2017-07-27 10:31:00,27041.0,27001.0,-1,38.0,1900.0,10,mr_exit,MR,RANGE
20170727,112300,142000,2017-07-27 11:23:00,2017-07-27 14:20:00,27018.0,27101.0,-1,-85.0,-4250.0,117,stop_loss,MR,RANGE
20170727,142100,162900,2017-07-27 14:21:00,2017-07-27 16:29:00,27091.0,27130.0,-1,-41.0,-2050.0,128,session_end,MR,RANGE
